SALDO,FRECUENCIA_SALDO,COMPRAS,COMPRAS_UNICAS,COMPRAS_CUOTAS,ADELANTO_EFECTIVO,FRECUENCIA_COMPRAS,FRECUENCIA_COMPRAS_UNICAS,FRECUENCIA_COMPRAS_CUOTAS,FRECUENCIA_ADELANTO_EFECTIVO,NUM_TRX_ADELANTO_EFECTIVO,NUM_TRX_COMPRAS,LIMITE_CREDITO,PAGOS,PAGOS_MINIMOS,PORC_PAGO_COMPLETO,ANTIGUEDAD,TASA_UTILIZACION_CREDITO,RATIO_PAGOS_MINIMOS,RATIO_PAGOS_COMPRAS,INTENSIDAD_ADELANTO,Cluster
40.900748999999905,0.818182,95.39999999999998,0.0,95.39999999999998,0.0,0.166667,0.0,0.08333299999999999,0.0,0.0,2.0,1000.0,201.80208399999992,139.50978699999996,0.0,12.0,0.0409007489999999,0.6913198493464525,2.1153258059190163,0.0,2
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.4574953451428571,0.2613530824792145,3.0,0.9204207831542256,1
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.33268651493333334,1.0083882381733436,0.8045665781075746,0.0,2
1666.670542,0.636364,1499.0,1499.0,0.0,205.78801699999997,0.08333299999999993,0.083333,0.0,0.08333300000000002,1.0,1.0,7500.0,0.0,205.92221759999995,0.0,12.0,0.22222273893333333,2.0,0.0,0.027438402263008206,2
817.714335,1.0,16.0,16.0,0.0,0.0,0.08333299999999993,0.083333,0.0,0.0,0.0,1.0,1200.0,678.3347630000001,244.79123700000002,0.0,12.0,0.6814286125,0.3608708413475916,3.0,0.0,1
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,1.0054604172222221,1.7193905029223255,1.050085330125641,0.0,2
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.06589399999996,1.0,12.0,0.046463763407407405,0.03117030158487143,0.8961084989449869,0.0,0
1823.652743,1.0,436.19999999999993,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.0650819999998,532.03399,0.0,12.0,0.7928924969565218,0.7834801159994265,1.5567745998239921,0.0,2
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.96340899999996,0.0,12.0,0.14498949614285714,0.45325166734924155,0.7989397058596852,0.0,2
152.22597500000006,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.30226200000004,0.0,12.0,0.013838725000000005,0.08611331938572847,0.9088409722933513,0.0,2
